n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
49000,481555,557687,553567,582797,536887,574073,560159,524707,678734,518423,514602,536407,564591,486863,557831,682204,482335,567075,553890,787180,528855,522641,512727,578492,645450,554990,623828,549435,560137,511407,540716,521829,503407,474027,563431,459875,593886,532334,457814,578026,648842,699301,529191,611023,566897,454536,513979,531135,640517,578432
50000,528205,480545,499261,571539,498700,732266,569059,593089,561272,611132,571239,608884,575694,540497,527846,581714,531952,554285,606894,552080,647411,461236,632033,440941,556278,572888,580858,563103,527321,505832,728446,593579,566618,534344,638772,655885,461407,470251,499958,541294,589690,509286,556451,568116,602240,535982,716741,493513,518294,644480
51000,611094,653318,600928,599113,585792,597101,544788,544081,743725,644600,598197,523330,522508,697730,659288,648492,559201,645856,560252,726531,600429,566008,617557,590079,563686,591589,520377,585489,628938,581007,531730,538027,518287,560892,498984,559184,532175,528687,528141,481544,581910,532289,541816,577658,522821,575393,653892,582915,736933,505282
52000,567731,735696,587122,606273,599414,689038,768646,635042,529861,607554,563277,551754,529873,584672,559177,615267,588548,613602,543358,735083,582751,523263,539631,642517,571488,614453,543688,712643,660748,545130,593057,586304,640648,532681,597115,590369,614963,502874,520129,596250,675554,659776,640977,685879,663214,627832,633736,563300,594259,553681
53000,672502,793812,585481,646124,642650,671427,563986,570221,577478,602416,558321,584590,532441,546212,565496,729579,638889,553198,640186,546233,641078,550302,627283,606874,634387,606173,551094,724296,514392,706043,664480,532096,660880,591939,576169,602128,513806,567693,633189,610028,545109,705304,700103,742697,681475,549583,525959,526653,579677,535314
54000,551394,782537,569339,588104,749281,639159,694269,569947,574626,783415,656440,622447,592779,576506,621194,591924,596977,532812,535088,582394,566875,625117,522860,746150,574206,656446,524653,557747,593837,769474,669742,677147,617986,613187,559111,599018,644929,531617,591898,580205,621003,589116,644470,562563,632287,591043,536490,586791,622007,520408
55000,678864,592114,652179,571372,620000,568039,617730,687119,544408,644654,855129,559289,605074,673272,677249,710698,550713,672835,704641,617096,630637,739053,712417,645996,520066,643715,675774,706701,549876,545598,569991,653240,612821,647110,616405,596062,653683,692101,592708,517097,605178,518330,732400,680515,558334,630851,589901,564025,618054,536700
56000,874169,552736,686157,630731,607465,631549,785078,582459,610559,555938,833295,597147,601228,557976,572724,634971,649938,544961,672533,631882,575099,639000,692047,609411,629523,749945,645470,610108,647716,790378,600002,763168,556855,645236,676325,526513,567146,576957,626554,549570,575685,650209,566310,688666,665423,636361,676057,563581,684359,862039
57000,600143,814717,644215,704509,706360,593212,641724,877827,638583,709501,743121,825157,680049,528376,634162,652915,738723,531219,652698,615131,786569,597297,743851,567322,570402,600904,641277,665399,545673,654955,588097,648534,594704,694259,620719,675226,678621,622083,676135,651524,611837,604636,606512,587357,780573,801894,629595,715210,626678,728430
58000,545332,597175,653044,739326,641516,633414,660636,672306,603598,818578,728537,622359,586011,635715,688339,705897,640941,683308,700996,571646,729560,608498,647535,642578,664202,589350,652311,660725,669470,637053,607804,667245,691734,672173,567887,597551,679888,640785,619678,631975,698381,644214,553895,858325,668840,636524,620318,570025,591527,744392
